region,piso_ecologico,distrito,anio,numero_mes,mes,num_cultivos,produccion_piso_ton,temp_promedio,temp_maxima,temp_minima,precipitacion,humedad_relativa,radiacion_solar,velocidad_viento,presion_atmosferica,humedad_suelo,temp_superficie,punto_rocio,humedad_especifica,produccion_piso_ton_z,temp_promedio_z,temp_maxima_z,precipitacion_z,humedad_relativa_z,radiacion_solar_z,humedad_suelo_z,anomalia,score_anomalia,evento_conocido
Puno,altiplano_lacustre,Ilave,2023,10,Octubre,22,5622.9,11.45,19.74,5.68,0.68,64.87,24.19,4.24,63.87,0.38,15.91,4.16,8.28,-0.4792498967097904,1.7801497172086151,1.7821690605321856,-0.6366550299605345,-0.05396346384584,0.6623910904112116,-1.265632203346063,False,0.47444303515802566,ninguno
Puno,altiplano_lacustre,Taraco,2020,4,Abril,1,490976.0,9.64,19.78,-1.48,0.46,64.57,22.47,1.92,64.12,0.55,11.98,2.07,7.08,1.5530624151974561,-0.12195956786388715,-0.1800369652387844,-0.6006947205742328,0.7447123910760994,-0.07010496804387077,1.834813707474402,False,0.47441987406088976,ninguno
Ica,costa,Nazca,2020,8,Agosto,1,49249.6,16.88,25.78,11.54,0.03,60.53,23.06,2.57,91.75,0.26,19.17,8.31,7.65,2.01812192743052,-1.451886671968122,-1.2816597943670958,-0.661938624335516,-0.7667063784398372,0.4019678394418182,-0.8002652785816495,False,0.47430588474179497,ninguno
Ica,costa,Chincha Alta,2025,4,Abril,26,17786.88,20.65,26.26,16.68,0.25,76.19,21.62,2.52,95.8,0.37,21.54,16.02,11.97,-0.8039355925334576,0.47131789784040745,0.42957152464572435,0.12092787030837276,0.7361271842159071,0.4326556070751405,2.135459226569692,False,0.4742840191901998,ninguno
Puno,puna_alta,Ayaviri,2025,6,Junio,6,1197.91,4.0,15.28,-5.36,3.38,70.68,18.43,2.08,61.14,0.54,4.7,-2.0,5.47,-0.3791279775320005,-1.7709321716064739,-1.849019360427463,0.8100309958757769,0.9889554292493715,-0.9211963483007389,1.0583468179190585,False,0.47414905036596056,ninguno
Puno,puna_alta,Pucara,2025,6,Junio,1,12144.83,4.0,15.28,-5.36,3.38,70.68,18.95,2.08,61.14,0.54,4.7,-2.0,5.47,-0.36388922372941596,-1.744282290315272,-1.8136150923110113,0.7768943689835452,0.9520814585337879,-1.2884346880394937,1.0193743936617274,False,0.47412445267746783,ninguno
Ica,costa,Santiago,2023,6,Junio,1,7349.23,18.57,28.7,12.26,0.0,51.13,17.39,2.26,87.08,0.38,18.79,7.0,7.52,-1.1942882185204267,-0.4586579164713122,1.1962447446820754,-0.6835082729784042,-0.7057242113781229,-1.7132513924747117,-0.5206736306618891,False,0.4740380689930508,nino_costero_2023_2024
Puno,puna_alta,Pucara,2020,3,Marzo,1,28850.0,7.72,18.86,-0.64,3.75,74.55,20.07,1.68,61.1,0.63,9.7,2.64,7.6,-0.3328094501517471,0.4139067112347742,0.02886923327892688,0.9633238243699493,1.386997606910121,-0.8468194322719284,2.4041848907116203,False,0.4739839573036369,ninguno
Junin,sierra,Matahuasi,2020,10,Octubre,1,10132.0,7.65,20.78,-0.05,0.71,66.81,18.29,2.76,61.85,0.38,10.72,0.56,6.54,-1.396880647661382,0.5613237622606275,1.9868469838604528,-0.19384615671993027,-0.9018244370960932,0.6281512112575001,-1.0417215642364517,False,0.47397527888858143,ninguno
Puno,altiplano_lacustre,Ilave,2020,3,Marzo,22,77017.2,9.9,16.39,4.79,3.03,75.28,20.52,3.75,63.86,0.58,14.4,5.43,8.84,-0.04145144402433749,0.2854649391174169,-0.5831194036325329,0.6946387908676966,1.342733310823003,-0.8508487532634692,2.070142596170692,False,0.4738049565363312,ninguno
Junin,selva_alta,Pichanaqui,2025,5,Mayo,1,16038.472,19.4,26.16,14.19,0.74,77.11,14.48,0.65,82.78,0.61,19.61,14.76,12.82,1.632235155804315,-0.5609755078758326,-1.3520890930022365,-0.09198497645209344,0.7518048441967162,-0.5554636186698435,1.8374753390484637,False,0.47353731702014407,ninguno
Junin,selva_alta,Perene,2022,10,Octubre,11,33799.859,20.95,28.24,14.46,0.02,66.24,17.59,0.82,82.56,0.48,21.68,13.77,12.08,-1.3406108466437787,0.972266068790904,0.11550080322410301,-0.807381474402976,-0.698324290794538,1.8850622942540807,-1.044075227872615,False,0.47349323776238456,ninguno
Junin,selva_alta,Perene,2025,5,Mayo,11,52158.718,19.4,26.16,14.19,0.74,77.11,14.1,0.65,82.78,0.61,19.61,14.76,12.82,1.1648196465857088,-0.6121007161590268,-1.4213226782450874,-0.10526074639640938,0.7607405897314841,-0.7498946127572178,1.9525562703072286,False,0.47344725074952676,ninguno
Puno,altiplano_lacustre,Taraco,2023,3,Marzo,1,483451.0,10.63,21.21,2.58,4.31,68.14,21.58,2.57,63.97,0.46,13.63,4.21,8.1,1.5185892534440595,0.4933947305319699,0.7223469316935941,1.4100618134517522,1.2177005133073546,-0.4754165647856932,0.22968949209915188,False,0.4731627178400106,ninguno
Puno,puna_alta,Pucara,2025,3,Marzo,1,974.0,7.38,17.29,0.44,5.24,77.01,18.54,1.68,61.1,0.55,9.22,2.92,7.74,-0.3846724224083058,0.21665287775977007,-0.7791476357647054,1.7140802798449282,1.6634559337850012,-1.450097415597263,1.1732422266672713,False,0.47309961754658864,ninguno
Puno,altiplano_lacustre,Ilave,2023,11,Noviembre,22,7882.2,11.21,19.85,2.89,1.92,68.67,24.06,4.12,63.79,0.38,15.98,4.98,8.7,-0.4653955967985616,1.5487146547944954,1.8598352489077457,0.06581490102968104,0.45587781797371824,0.6087885891366306,-1.265632203346063,False,0.4730839855203475,ninguno
Ica,costa,Nazca,2024,3,Marzo,1,212.8,22.96,29.97,17.97,0.41,70.65,16.49,2.81,91.63,0.28,25.9,16.84,13.2,-0.6129819387630431,1.6826722087551182,1.232595979600635,0.16636617241168652,1.2014984239892268,-1.577782485208457,0.07744502695951462,False,0.47302142263256974,nino_costero_2023_2024
Junin,selva_alta,Pangoa,2021,3,Marzo,1,18286.98,19.09,25.32,14.21,2.93,83.74,15.29,0.25,83.78,0.6,19.12,15.87,13.61,-0.005558153666092212,-1.457347120526537,-1.9727708343623875,0.9255838436148314,1.3217124128356994,-0.21832797748364297,1.1909313206894292,False,0.4729830899683399,ninguno
La Libertad,sierra,Huamachuco,2022,6,Junio,14,113159.38,9.9,19.89,0.67,0.81,71.01,17.43,1.56,68.17,0.52,11.29,3.76,7.46,1.177710974655552,-2.1275327250228555,-1.3484046356078467,-0.36203391459687073,0.19393762316962293,-0.5351897306218435,0.5463218552226732,False,0.4729472376881822,ninguno
Ica,costa,Chincha Alta,2020,3,Marzo,26,9570.669,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9,-1.344731245946145,1.5456372035184935,1.4798497691727948,-0.010852501181520641,1.1489871281035469,0.7012763911116143,-0.13346620166060733,False,0.4727951857433319,ninguno
Ica,costa,Chincha Alta,2022,7,Julio,26,50043.05,16.93,22.69,12.86,0.01,70.56,12.96,3.53,95.95,0.33,17.6,11.18,8.73,1.3191837542969396,-1.5573459687192241,-1.9138618084553045,-0.5116179128431156,-0.44377204628531713,-1.4741115976427817,-0.13346620166060733,False,0.47275238774880723,ninguno
San Martin,selva_alto_mayo,Moyobamba,2021,4,Abril,14,64065.84,21.83,29.31,17.16,1.56,83.39,16.07,0.05,90.35,0.61,21.73,18.54,14.88,0.5064514115668983,-1.3568606824651104,-1.293628484086557,-0.1402020363885338,1.4922107291514535,-0.29725302126779185,1.3913106699899696,False,0.4727015727207574,ninguno
Puno,altiplano_lacustre,Taraco,2020,6,Junio,1,323232.0,7.21,17.0,-3.71,0.02,57.88,19.76,1.81,64.08,0.47,8.18,-2.02,5.41,0.7846018111892485,-1.6323746639264456,-1.9343217438905422,-0.8304954673200596,-0.14164350184465285,-1.3042560098082943,0.40803662714084543,False,0.4726972592531405,ninguno
Ica,costa,Independencia,2025,5,Mayo,2,53204.48,19.76,25.05,15.75,0.09,73.11,15.99,2.57,95.86,0.35,20.38,14.47,10.83,2.6853643333028736,-0.014034478836492205,-0.3647013977778742,-0.30076931845928623,0.09064057143726202,-0.8069632569620308,1.0009965124545408,False,0.47239227270143186,ninguno
Piura,sierra,Jilili,2021,4,Abril,1,38534.85,17.04,24.95,10.9,1.33,81.14,15.32,1.27,80.32,0.55,17.98,13.38,11.99,-0.48779514755804837,-0.9743730948545981,-1.3337016372301365,-0.24092849455676038,1.4578617096381474,-0.5523053338778051,2.1205828791041137,False,0.4723209982068212,ninguno
La Libertad,costa,Viru,2024,3,Marzo,28,382474.4148,22.9,28.84,19.13,0.26,77.16,21.25,2.4,94.06,0.38,24.71,18.43,14.19,-1.633400394608491,1.8392177947571466,1.117769276782653,-0.1734230238585216,0.45283320803005656,0.7099581396462384,-0.3703087397906099,False,0.4722996703499744,nino_costero_2023_2024
San Martin,selva_huallaga,Tocache,2020,12,Diciembre,3,78177.3,23.03,31.41,17.72,5.47,79.35,14.39,0.02,89.79,0.62,23.0,18.77,15.17,1.3507880135144363,-0.30735275818779645,-0.14118670380662846,1.8502243725549932,0.6547347190271472,-0.8502867832895726,-0.0792244560417777,False,0.472133974213302,ninguno
Puno,puna_alta,Ayaviri,2022,6,Junio,6,18943.8,3.34,15.81,-7.02,0.04,57.87,19.91,2.09,61.05,0.47,3.86,-6.14,4.14,-0.17149413223936358,-2.1604036072006254,-1.5727625917109143,-0.9018350112267303,-0.49030017778157603,-0.1484264850600427,-0.032071115694518024,False,0.47198607077712196,sequia_puno_2022
La Libertad,costa,Guadalupe,2025,11,Noviembre,1,581.0,20.78,28.39,15.09,1.6,72.71,24.06,2.41,91.78,0.41,22.33,15.17,11.82,-0.468656871198172,-0.9399687808992429,-0.9182887249843121,0.8638766058096347,0.8441694091896116,1.624351563004946,0.361794964350557,False,0.47194411755916676,ninguno
Junin,sierra,San Agustin,2021,3,Marzo,1,19879.4,8.53,16.13,1.85,2.26,83.3,16.72,2.1,64.83,0.57,9.83,5.48,8.77,0.905584038711637,-0.7639487991454429,-1.6210688146681327,0.8398108612911702,1.4436511481768197,-1.164359100963777,1.2335682428749017,False,0.4718784631915785,ninguno
