region,cultivo,piso_asignado,distrito,produccion_total_ton,nivel_confianza,regla_asignacion,categoria_agronomica,justificacion
La Libertad,pallar_grano_seco,costa,Viru,1968.3,alta,taxonomia_piso_prioridad,leguminosas,Primer piso compatible en La Libertad: costa (prioridad agronómica 1/1).
La Libertad,palta,costa,Viru,1366744.99,alta,taxonomia_piso_prioridad,frutales,Primer piso compatible en La Libertad: costa (prioridad agronómica 1/6).
La Libertad,papa,sierra,Huamachuco,3127628.58,alta,taxonomia_piso_prioridad,andinos,Primer piso compatible en La Libertad: sierra (prioridad agronómica 1/4).
La Libertad,papaya,costa,Viru,17108.08,alta,taxonomia_piso_prioridad,frutales_tropicales,Primer piso compatible en La Libertad: costa (prioridad agronómica 1/7).
La Libertad,paprika,costa,Viru,4393.0,alta,taxonomia_piso_prioridad,hortalizas_exportacion,Primer piso compatible en La Libertad: costa (prioridad agronómica 1/2).
La Libertad,pimiento,costa,Viru,106435.6,alta,taxonomia_piso_prioridad,hortalizas_exportacion,Primer piso compatible en La Libertad: costa (prioridad agronómica 1/3).
La Libertad,pina,yunga,Cascas,119678.07,media,override_regional,frutales_tropicales,Piña en yunga; costa virú menos representativa.
La Libertad,piquillo,costa,Viru,71624.68,alta,taxonomia_piso_prioridad,hortalizas_exportacion,Primer piso compatible en La Libertad: costa (prioridad agronómica 1/2).
La Libertad,platano,yunga,Cascas,75396.47,media,taxonomia_piso_prioridad,frutales_tropicales,Primer piso compatible en La Libertad: yunga (prioridad agronómica 3/8).
La Libertad,quinua,sierra,Huamachuco,16245.57,media,taxonomia_piso_prioridad,andinos,Primer piso compatible en La Libertad: sierra (prioridad agronómica 3/3).
La Libertad,tomate,costa,Viru,59250.25,alta,taxonomia_piso_prioridad,hortalizas,Primer piso compatible en La Libertad: costa (prioridad agronómica 1/6).
La Libertad,trigo,sierra,Huamachuco,400034.57,alta,taxonomia_piso_prioridad,granos_andinos,Primer piso compatible en La Libertad: sierra (prioridad agronómica 1/3).
La Libertad,tuna,costa,Viru,3447.61,alta,taxonomia_piso_prioridad,frutales,Primer piso compatible en La Libertad: costa (prioridad agronómica 1/4).
La Libertad,uva,yunga,Cascas,328347.83,alta,override_regional,frutales,"Uva de mesa en ceja de selva/yunga (Cascas), no en costa virú."
La Libertad,yuca,costa,Viru,111307.26,alta,taxonomia_piso_prioridad,raices,Primer piso compatible en La Libertad: costa (prioridad agronómica 1/7).
La Libertad,zanahoria,costa,Viru,34316.0,alta,taxonomia_piso_prioridad,hortalizas,Primer piso compatible en La Libertad: costa (prioridad agronómica 1/5).
La Libertad,zapallo,costa,Viru,89407.43,alta,taxonomia_piso_prioridad,hortalizas,Primer piso compatible en La Libertad: costa (prioridad agronómica 1/6).
Piura,ajo,sierra,Canchaque,2528.0,media,taxonomia_piso_prioridad,hortalizas,Primer piso compatible en Piura: sierra (prioridad agronómica 2/5).
Piura,alfalfa,sierra,Canchaque,32416.4,media,taxonomia_piso_prioridad,forrajeros,Primer piso compatible en Piura: sierra (prioridad agronómica 2/6).
Piura,algodon_rama,valle_chira,Sullana,47440.0,media,taxonomia_piso_prioridad,industrial,Primer piso compatible en Piura: valle_chira (prioridad agronómica 2/3).
Piura,arandano,sierra,Canchaque,45534.37,media,taxonomia_piso_prioridad,frutales_bosque,Primer piso compatible en Piura: sierra (prioridad agronómica 2/2).
Piura,arroz_cascara,valle_chira,Sullana,2860924.0,media,taxonomia_piso_prioridad,granos,Primer piso compatible en Piura: valle_chira (prioridad agronómica 2/5).
Piura,arveja_grano_seco,sierra,Canchaque,23168.0,alta,taxonomia_piso_prioridad,leguminosas,Primer piso compatible en Piura: sierra (prioridad agronómica 1/4).
Piura,arveja_verde,sierra,Canchaque,6351.0,alta,taxonomia_piso_prioridad,leguminosas,Primer piso compatible en Piura: sierra (prioridad agronómica 1/4).
Piura,cafe_pergamino,sierra,Canchaque,41018.0,media,taxonomia_piso_prioridad,permanentes_selva,Primer piso compatible en Piura: sierra (prioridad agronómica 3/4).
Piura,camote,sierra,Canchaque,56242.5,media,taxonomia_piso_prioridad,raices,Primer piso compatible en Piura: sierra (prioridad agronómica 3/8).
Piura,cana_para_azucar,valle_chira,Sullana,3614281.06,media,taxonomia_piso_prioridad,industrial,Primer piso compatible en Piura: valle_chira (prioridad agronómica 2/2).
Piura,cebada_grano,sierra,Canchaque,2835.0,alta,taxonomia_piso_prioridad,granos_andinos,Primer piso compatible en Piura: sierra (prioridad agronómica 1/3).
Piura,cebolla,sierra,Canchaque,22149.0,media,taxonomia_piso_prioridad,hortalizas,Primer piso compatible en Piura: sierra (prioridad agronómica 2/5).
Piura,frijol_grano_seco,sierra,Canchaque,26805.0,media,taxonomia_piso_prioridad,leguminosas,Primer piso compatible en Piura: sierra (prioridad agronómica 3/6).
Piura,haba_grano_seco,sierra,Canchaque,3213.0,media,taxonomia_piso_prioridad,leguminosas,Primer piso compatible en Piura: sierra (prioridad agronómica 2/3).
Piura,limon_sutil,bosque_seco,Tambogrande,1107399.5,alta,override_regional,citricos,Limón en bosque seco piurano.
