region,piso_ecologico,distrito,cultivo,anio,numero_mes,mes,produccion_ton,temp_promedio,temp_maxima,temp_minima,precipitacion,humedad_relativa,radiacion_solar,velocidad_viento,presion_atmosferica,humedad_suelo,temp_superficie,punto_rocio,humedad_especifica
Ica,costa,Chincha Alta,alfalfa,2020,4,Abril,11112.69,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
Ica,costa,Chincha Alta,algodon_rama,2020,4,Abril,2794.75,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
Ica,costa,Chincha Alta,arandano,2020,4,Abril,0.0,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
Ica,costa,Chincha Alta,arveja_grano_seco,2020,4,Abril,0.0,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
Ica,costa,Chincha Alta,arveja_verde,2020,4,Abril,45.0,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
Ica,costa,Chincha Alta,camote,2020,4,Abril,1419.6,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
Ica,costa,Chincha Alta,cebolla,2020,4,Abril,11299.28,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
Ica,costa,Chincha Alta,esparrago,2020,4,Abril,14738.57,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
Ica,costa,Chincha Alta,frijol_grano_seco,2020,4,Abril,0.0,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
Ica,costa,Chincha Alta,haba_grano_seco,2020,4,Abril,0.0,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
Ica,costa,Chincha Alta,limon_sutil,2020,4,Abril,510.2,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
Ica,costa,Chincha Alta,maiz_amarillo_duro,2020,4,Abril,11051.15,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
Ica,costa,Chincha Alta,maiz_chala,2020,4,Abril,0.0,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
Ica,costa,Chincha Alta,maiz_choclo,2020,4,Abril,0.0,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
Ica,costa,Chincha Alta,mandarina,2020,4,Abril,28944.2,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
Ica,costa,Chincha Alta,mango,2020,4,Abril,223.7,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
Ica,costa,Chincha Alta,naranja,2020,4,Abril,0.0,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
Ica,costa,Chincha Alta,pallar_grano_seco,2020,4,Abril,25.25,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
Ica,costa,Chincha Alta,palta,2020,4,Abril,9422.72,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
Ica,costa,Chincha Alta,papa,2020,4,Abril,230.25,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
Ica,costa,Chincha Alta,papaya,2020,4,Abril,23.0,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
Ica,costa,Chincha Alta,paprika,2020,4,Abril,116.64,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
Ica,costa,Chincha Alta,pimiento,2020,4,Abril,0.0,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
Ica,costa,Chincha Alta,tangelo,2020,4,Abril,0.0,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
Ica,costa,Chincha Alta,tomate,2020,4,Abril,1505.7,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
Ica,costa,Chincha Alta,tuna,2020,4,Abril,0.0,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
Ica,costa,Chincha Alta,uva,2020,4,Abril,5521.15,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
Ica,costa,Chincha Alta,yuca,2020,4,Abril,379.0,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
Ica,costa,Chincha Alta,zanahoria,2020,4,Abril,0.0,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
Ica,costa,Chincha Alta,zapallo,2020,4,Abril,688.9,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
Ica,costa,Chincha Alta,aceituna,2020,5,Mayo,2232.63,20.0,25.6,15.49,0.03,69.33,15.79,2.54,95.9,0.32,20.76,13.8,10.45
Ica,costa,Chincha Alta,aji,2020,5,Mayo,515.6,20.0,25.6,15.49,0.03,69.33,15.79,2.54,95.9,0.32,20.76,13.8,10.45
Ica,costa,Chincha Alta,ajo,2020,5,Mayo,0.0,20.0,25.6,15.49,0.03,69.33,15.79,2.54,95.9,0.32,20.76,13.8,10.45
Ica,costa,Chincha Alta,alcachofa,2020,5,Mayo,0.0,20.0,25.6,15.49,0.03,69.33,15.79,2.54,95.9,0.32,20.76,13.8,10.45
Ica,costa,Chincha Alta,alfalfa,2020,5,Mayo,11133.92,20.0,25.6,15.49,0.03,69.33,15.79,2.54,95.9,0.32,20.76,13.8,10.45
Ica,costa,Chincha Alta,algodon_rama,2020,5,Mayo,2463.629,20.0,25.6,15.49,0.03,69.33,15.79,2.54,95.9,0.32,20.76,13.8,10.45
