region,piso_ecologico,distrito,anio,numero_mes,mes,num_cultivos,produccion_piso_ton,temp_promedio,temp_maxima,temp_minima,precipitacion,humedad_relativa,radiacion_solar,velocidad_viento,presion_atmosferica,humedad_suelo,temp_superficie,punto_rocio,humedad_especifica
Junin,selva_alta,Perene,2024,6,Junio,14,129019.3,20.05,28.21,12.61,0.96,67.41,14.5,0.71,82.78,0.51,20.27,13.07,11.57
Junin,selva_alta,Perene,2024,7,Julio,14,115911.867,19.36,27.36,11.13,0.23,64.95,15.61,0.73,82.89,0.52,19.55,11.75,10.66
Junin,selva_alta,Perene,2024,8,Agosto,14,94635.418,20.4,28.43,13.63,0.21,61.76,15.12,0.73,82.83,0.5,20.75,12.19,10.86
Junin,selva_alta,Perene,2024,9,Septiembre,14,86979.81,21.96,29.56,15.32,0.26,59.39,14.26,0.79,82.7,0.49,22.38,13.05,11.45
Junin,selva_alta,Perene,2024,10,Octubre,14,86587.27,22.12,29.61,16.21,0.28,62.89,16.64,0.84,82.62,0.49,22.76,14.09,12.28
Junin,selva_alta,Perene,2024,11,Noviembre,14,94474.632,20.35,29.53,15.26,1.28,74.44,13.7,0.84,82.5,0.5,20.82,15.12,13.17
Junin,selva_alta,Perene,2024,12,Diciembre,14,102565.085,20.5,28.38,15.56,0.91,74.27,13.4,0.87,82.53,0.51,21.05,15.18,13.24
Junin,selva_alta,Perene,2025,1,Enero,14,104328.885,20.01,27.81,14.99,1.1,74.29,13.86,0.86,82.58,0.51,20.55,14.73,12.83
Junin,selva_alta,Perene,2025,2,Febrero,14,114465.091,19.19,27.65,14.94,4.36,81.9,14.03,0.74,82.56,0.57,19.5,15.52,13.52
Junin,selva_alta,Perene,2025,3,Marzo,14,118974.948,18.41,24.84,14.4,4.5,87.53,12.58,0.64,82.64,0.65,18.6,16.02,13.93
Junin,selva_alta,Perene,2025,4,Abril,14,123188.977,18.9,25.88,14.82,1.48,84.1,13.5,0.67,82.65,0.65,19.07,15.79,13.71
Junin,selva_alta,Perene,2025,5,Mayo,14,125238.23,19.4,26.16,14.19,0.74,77.11,14.1,0.65,82.78,0.61,19.61,14.76,12.82
Junin,selva_alta,Perene,2025,6,Junio,14,131247.15,18.63,25.82,13.95,1.16,78.45,13.44,0.63,82.82,0.59,18.77,14.21,12.39
Junin,selva_alta,Perene,2025,7,Julio,14,117346.331,18.79,27.63,10.88,0.18,64.49,16.49,0.71,82.93,0.56,18.93,11.19,10.19
Junin,selva_alta,Perene,2025,8,Agosto,14,96691.369,19.78,27.36,13.83,0.25,64.65,16.03,0.72,82.82,0.53,20.18,12.33,10.92
Junin,selva_alta,Perene,2025,9,Septiembre,14,89478.868,20.95,28.35,14.99,0.43,63.19,15.66,0.82,82.76,0.52,21.49,13.07,11.46
Junin,selva_alta,Perene,2025,10,Octubre,14,89322.26,20.43,28.61,14.56,0.77,70.86,16.1,0.85,82.63,0.52,21.06,14.22,12.41
Junin,selva_alta,Perene,2025,11,Noviembre,14,96489.664,20.67,27.99,15.94,0.23,72.02,16.13,0.81,82.53,0.51,21.24,14.88,12.94
Junin,selva_alta,Perene,2025,12,Diciembre,14,100524.269,19.61,28.36,14.66,0.48,76.88,16.13,0.79,82.44,0.5,20.14,14.92,13.04
Junin,selva_baja,Rio Tambo,2020,1,Enero,2,7456.589,23.39,34.07,17.54,1.5,74.98,14.99,0.05,89.17,0.58,23.34,18.11,14.67
Junin,selva_baja,Rio Tambo,2020,2,Febrero,2,8820.0,23.26,31.95,18.13,1.85,76.69,13.44,0.04,89.2,0.57,23.26,18.39,14.93
Junin,selva_baja,Rio Tambo,2020,3,Marzo,2,8126.159,23.34,32.59,17.47,1.74,73.69,15.74,0.09,89.23,0.57,23.17,17.65,14.27
