region,anio,mes_num,mes_nombre,cultivo,produccion_acumulada
San Martin,2023,8,Agosto,tangelo,0.0
San Martin,2023,9,Septiembre,tangelo,0.0
San Martin,2023,10,Octubre,tangelo,0.0
San Martin,2023,11,Noviembre,tangelo,0.0
San Martin,2023,12,Diciembre,tangelo,0.0
San Martin,2024,1,Enero,tangelo,0.0
San Martin,2024,2,Febrero,tangelo,0.0
San Martin,2024,3,Marzo,tangelo,0.0
San Martin,2024,4,Abril,tangelo,0.0
San Martin,2024,5,Mayo,tangelo,0.0
San Martin,2024,6,Junio,tangelo,0.0
San Martin,2024,7,Julio,tangelo,0.0
San Martin,2024,8,Agosto,tangelo,0.0
San Martin,2024,9,Septiembre,tangelo,0.0
San Martin,2024,10,Octubre,tangelo,0.0
San Martin,2024,11,Noviembre,tangelo,0.0
San Martin,2024,12,Diciembre,tangelo,0.0
San Martin,2025,1,Enero,tangelo,0.0
San Martin,2025,2,Febrero,tangelo,0.0
San Martin,2025,3,Marzo,tangelo,0.0
San Martin,2025,4,Abril,tangelo,0.0
San Martin,2025,5,Mayo,tangelo,0.0
San Martin,2025,6,Junio,tangelo,0.0
San Martin,2025,7,Julio,tangelo,0.0
San Martin,2025,8,Agosto,tangelo,0.0
San Martin,2025,9,Septiembre,tangelo,0.0
San Martin,2025,10,Octubre,tangelo,0.0
San Martin,2025,11,Noviembre,tangelo,0.0
San Martin,2025,12,Diciembre,tangelo,0.0
Ica,2020,1,Enero,uva,105129.7
Ica,2020,2,Febrero,uva,171799.71
Ica,2020,3,Marzo,uva,207128.76
Ica,2020,4,Abril,uva,212649.91
Ica,2020,5,Mayo,uva,212649.91
Ica,2020,6,Junio,uva,212650.91
Ica,2020,7,Julio,uva,212935.91
Ica,2020,8,Agosto,uva,212981.91
Ica,2020,9,Septiembre,uva,213029.90999999997
Ica,2020,10,Octubre,uva,214324.90999999997
Ica,2020,11,Noviembre,uva,230932.24999999997
Ica,2020,12,Diciembre,uva,
Ica,2021,1,Enero,uva,142925.91
Ica,2021,2,Febrero,uva,220357.91
Ica,2021,3,Marzo,uva,254092.34999999998
Ica,2021,4,Abril,uva,259953.34999999998
Ica,2021,5,Mayo,uva,
Ica,2021,6,Junio,uva,275002.92
Ica,2021,7,Julio,uva,275002.92
Ica,2021,8,Agosto,uva,275002.92
Ica,2021,9,Septiembre,uva,275002.92
Ica,2021,10,Octubre,uva,276326.51999999996
Ica,2021,11,Noviembre,uva,296381.92
Ica,2021,12,Diciembre,uva,400589.26
Ica,2022,1,Enero,uva,156655.95
Ica,2022,2,Febrero,uva,243484.28999999998
Ica,2022,3,Marzo,uva,
